Date,Week,Day,Topic,Task,Status
2026-03-17,1,1,Python基础,Python变量/函数/类/JSON；实现游戏角色生成器,
2026-03-18,1,2,大模型API,调用Qwen/OpenAI API实现AI写故事,
2026-03-19,1,3,FastAPI基础,创建/chat接口，返回结构化AI回复,
2026-03-20,1,4,数据校验,使用Pydantic验证输入，添加错误处理,
2026-03-21,1,5,流式响应,实现SSE打字机效果，前端简单对接,
2026-03-22,1,6,项目1,部署AI聊天机器人到Render/Vercel,
2026-03-23,1,7,复习,查漏补缺，整理笔记,
2026-03-24,2,8,LangChain基础,LLMChain + PromptTemplate 实现剧情生成,
2026-03-25,2,9,文本处理,PDF解析 + RecursiveCharacterTextSplitter分块,
2026-03-26,2,10,向量数据库,Chroma本地安装，存储Embedding,
2026-03-27,2,11,RAG核心,构建RetrievalQA链，实现基于文档问答,
2026-03-28,2,12,RAG优化,添加元数据过滤、重排序（RRF或CohereRerank）,
2026-03-29,2,13,项目2,前端上传PDF，后端构建知识库并问答,
2026-03-30,2,14,调试,优化检索准确率，处理长文档,
2026-03-31,3,15,Agent基础,ReAct Agent + 自定义Tool（如查天气）,
2026-04-01,3,16,自定义工具,创建“游戏物品查询”模拟API工具,
2026-04-02,3,17,对话记忆,集成ConversationBufferMemory支持多轮,
2026-04-03,3,18,错误处理,添加Tool fallback和超时机制,
2026-04-04,3,19,前端展示,显示Agent思考-行动-观察过程,
2026-04-05,3,20,项目3,输入“设计副本”，AI输出任务+NPC对话,
2026-04-06,3,21,优化,支持工具组合调用，提升任务完成率,
2026-04-07,4,22,私有模型,Ollama安装Qwen，替换云端API,
2026-04-08,4,23,高性能推理,尝试vLLM或LM Studio加速本地模型,
2026-04-09,4,24,Docker容器化,将FastAPI服务打包为Docker镜像,
2026-04-10,4,25,部署,Nginx反向代理 + HTTPS（可选）,
2026-04-11,4,26,性能优化,添加Redis缓存常见问题答案,
2026-04-12,4,27,整合,支持“公有云”和“本地模型”双模式切换,
2026-04-13,4,28,测试,压力测试、错误恢复、日志记录,
2026-04-14,5,29,代码重构,模块化：api/rag/agent/utils 分离,
2026-04-15,5,30,功能增强,添加对话历史（SQLite存储）,
2026-04-16,5,31,管理后台,简易页面上传/删除知识库文件,
2026-04-17,5,32,文档,编写README、架构图、部署指南,
2026-04-18,5,33,演示视频,录制1分钟项目演示,
2026-04-19,5,34,简历初稿,突出AI应用开发能力,
2026-04-20,5,35,开源贡献,为Dify/FastGPT提交示例或文档,
2026-04-21,6,36,项目整合,统一三个项目为一个平台（可选）,
2026-04-22,6,37,面试准备,整理RAG/Agent/部署高频问题,
2026-04-23,6,38,模拟面试,找朋友或AI模拟技术面,
2026-04-24,6,39,投递策略,筛选20家目标公司（AI SaaS/游戏/AI客服）,
2026-04-25,6,40,简历优化,根据JD调整关键词,
2026-04-26,7,41,正式投递,BOSS直聘/猎聘批量投递,
2026-04-27,7,42,跟进,记录面试反馈，迭代项目,
2026-04-28,7,43,技术深化,学习LlamaIndex对比LangChain,
2026-04-29,7,44,扩展方向,探索Coze/Dify低代码平台,
2026-04-30,7,45,社区参与,加入LangChain中文社区,
2026-05-01,7,46,复盘,总结8周收获，规划下一步,
2026-05-02,8,47,面试冲刺,每日1–2场面试,
2026-05-03,8,48,谈薪技巧,了解市场薪资水平,
2026-05-04,8,49,Offer选择,评估技术栈/团队/成长性,
2026-05-05,8,50,入职准备,熟悉公司AI基础设施,
2026-05-06,8,51,持续学习,关注Agent/RAG新论文,
2026-05-07,8,52,分享经验,写一篇转型博客,
2026-05-08,8,53,帮助他人,在社区回答新手问题,
2026-05-09,8,54,庆祝,你已成功转型！🎉,
2026-05-10,8,55,休息,,
2026-05-11,8,56,休息,,
2026-05-12,8,57,新起点,,
